Official/black|black.bmp
Official/Other_villages/busi_comsi02|기타마을\busi_comsi02.bmp
Official/User_Interface/Holrieobenjyeo|유저인터페이스\홀리어벤져.bmp
Official/item/cr_grandcross|유저인터페이스\item\cr_grandcross.bmp
Official/item/Gebeuneyieokkaejangsik|유저인터페이스\item\게브네이어깨장식.bmp
Official/Prontera/pron-flo-bloc|프론테라\pron-flo-bloc.bmp
Official/Other_villages/rct_010|기타마을\rct_010.bmp
Official/Field_Floor/Ground_mocr_02|필드바닥\mocr_맨땅02.bmp
Official/Field_Floor/Ground_mocr_10|필드바닥\mocr_맨땅10.bmp
Official/User_Interface/esc_06c|유저인터페이스\esc_06c.bmp
Official/collection/Plants_that_make_LA|유저인터페이스\collection\만드라고라화분.bmp
Official/User_Interface/esc_08b|유저인터페이스\esc_08b.bmp
Official/effect/cool|effect\cool.tga
Official/item/Repair_c|유저인터페이스\item\리페어c.bmp
Official/Internal_Accessories/glast_jab copy|내부소품\glast_jab copy.bmp
Official/item/Lanterns|유저인터페이스\item\등불.bmp
Official/item/Captain_hat|유저인터페이스\item\선장모자.bmp
Official/Other_villages/ja_wtj1|기타마을\ja_wtj1.bmp
Official/collection/Feast|유저인터페이스\collection\피스트.bmp
Official/External_accessories/fie-v02|외부소품\fie-v02.bmp
Official/basic_interface/btn_profile_on|유저인터페이스\basic_interface\btn_profile_on.bmp
Official/External_accessories/wind ccopy|외부소품\wind ccopy.tga
Official/cardbmp/Wind_Ghost_Card|유저인터페이스\cardbmp\윈드고스트카드.bmp
Official/manuk/manuk_bra1|manuk\manuk_bra1.bmp
Official/collection/Shower_Cream_Pancakes|유저인터페이스\collection\샤워크림팬케이크.bmp
Official/effect/icon01|effect\icon01.tga
Official/collection/Yellow_dye|유저인터페이스\collection\노란색염료.bmp
Official/Other_villages/rct_014|기타마을\rct_014.bmp
Official/Field_Floor/Ground_mocr_03|필드바닥\mocr_맨땅03.bmp
Official/Field_Floor/Ground_mocr_11|필드바닥\mocr_맨땅11.bmp
Official/item/Dick|유저인터페이스\item\거시기.bmp
Official/Others_within_the_town/Jarajip|기타마을내부\자라집.bmp
Official/basic_interface/skill1|유저인터페이스\basic_interface\skill1.bmp
Official/User_Interface/btn_1on1_b|유저인터페이스\btn_1on1_b.bmp
Official/Prontera/dong-d-3|프론테라\dong-d-3.bmp
Official/cardbmp/Ein_shunt_mummy_card|유저인터페이스\cardbmp\에인션트미이라카드.bmp
Official/User_Interface/radiobtn_off|유저인터페이스\radiobtn_off.bmp
Official/Internal_Accessories/ind-side2|내부소품\ind-side2.bmp
Official/Other_villages/desert_weapon07|기타마을\desert_weapon07.bmp
Official/User_Interface/t2_background,_2-2|유저인터페이스\t2_배경2-2.bmp
Official/collection/Neuleonanko|유저인터페이스\collection\늘어난코.bmp
Official/Other_villages/k_gesi2 copy|기타마을\k_gesi2 copy.bmp
Official/User_Interface/t4_background,_2-2|유저인터페이스\t4_배경2-2.bmp
Official/item/Yellow_Potion|유저인터페이스\item\노란포션.bmp
Official/item/Keyboard|유저인터페이스\item\건반.bmp
Official/basic_interface/btn_items_on|유저인터페이스\basic_interface\btn_items_on.bmp
Official/item/Two-handed_sword|유저인터페이스\item\투핸드소드.bmp
Official/Field_Floor/Ground_mocr_04|필드바닥\mocr_맨땅04.bmp
Official/Field_Floor/Ground_mocr_12|필드바닥\mocr_맨땅12.bmp
Official/User_Interface/esc_07c|유저인터페이스\esc_07c.bmp
Official/User_Interface/esc_09b|유저인터페이스\esc_09b.bmp
Official/User_Interface/Holy_Guard|유저인터페이스\홀리가드.bmp
Official/event/r_trap01|event\r_trap01.bmp
Official/Internal_Accessories/russia_infire02|내부소품\russia_infire02.bmp
Official/effect/cloud5|effect\cloud5.tga
Official/Prontera/dong-d-5|프론테라\dong-d-5.bmp
Official/item/Sohwanseo_Sword|유저인터페이스\item\소환서_검.bmp
Official/Other_villages/busi_hotelsiw02|기타마을\busi_hotelsiw02.bmp
Official/effect/igle_d|effect\igle_d.bmp
Official/item/Elf_arrows|유저인터페이스\item\엘프의화살.bmp
Official/collection/Green_tentacles|유저인터페이스\collection\초록더듬이.bmp
Official/cardbmp/Dracula_Card|유저인터페이스\cardbmp\드라큐라카드.bmp
Official/item/wl_chainlightning|유저인터페이스\item\wl_chainlightning.bmp
Official/effect/_The_state_fire|effect\발화_상태.bmp
Official/Field_Floor/Ground_mocr_05|필드바닥\mocr_맨땅05.bmp
Official/Field_Floor/Ground_mocr_13|필드바닥\mocr_맨땅13.bmp
Official/dicastes/dic_in_wall05|dicastes\dic_in_wall05.bmp
Official/collection/Shoes_stem_of_the_tree_of_life|유저인터페이스\collection\생명나무줄기슈즈.bmp
Official/Internal_Accessories/dg1_torch|내부소품\dg1_torch.bmp
Official/Other_villages/hw_ob007|기타마을\hw_ob007.bmp
Official/collection/Gindari|유저인터페이스\collection\긴다리.bmp
Official/item/ra_magentatrap|유저인터페이스\item\ra_magentatrap.bmp
Official/collection/Cray_Mower|유저인터페이스\collection\크레이모어.bmp
Official/effect/sand3|effect\sand3.bmp
Official/Morroc/front04|모로코\front04.bmp
Official/Other_villages/busi_inbed02|기타마을\busi_inbed02.bmp
Official/effect/ice_statusing|effect\ice_statusing.str
Official/item/Magic_Necklace|유저인터페이스\item\마법목걸이_.bmp
Official/effect/venomsplasher|effect\venomsplasher.str
Official/Other_villages/russia_store08|기타마을\russia_store08.bmp
Official/effect/ei_red_beads|effect\ei_홍색구슬.bmp
Official/Other_villages/hu_dunbri|기타마을\hu_dunbri.bmp
Official/effect/melody_a|effect\melody_a.bmp
Official/collection/Rocky's_Nails|유저인터페이스\collection\로키의손톱.bmp
Official/collection/Turtle_shells,_etc.|유저인터페이스\collection\거북이등껍질.bmp
Official/Field_Floor/Ground_mocr_06|필드바닥\mocr_맨땅06.bmp
Official/Field_Floor/Ground_mocr_14|필드바닥\mocr_맨땅14.bmp
Official/User_Interface/esc_08c|유저인터페이스\esc_08c.bmp
Official/cardbmp/Immersion_card_exploit|유저인터페이스\cardbmp\익스플로젼카드.bmp
Official/effect/lord_stick_plazma_c|effect\lord_stick_plazma_c.bmp
Official/Prontera/dong-d-1|프론테라\dong-d-1.bmp
Official/collection/Cotton_blanket.|유저인터페이스\collection\무명돗자리.bmp
Official/item/Meteor_Plate|유저인터페이스\item\메테오플레이트.bmp
Official/cardbmp/Amon_La_Card|유저인터페이스\cardbmp\아몬라카드.bmp
Official/Other_villages/al-01|기타마을\al-01.bmp
Official/illust/Petzherlthsh|유저인터페이스\illust\펫_zherlthsh.bmp
Official/map/que_god01|유저인터페이스\map\que_god01.bmp
Official/item/Schutz_strengthen_Adventure|유저인터페이스\item\강화어드벤쳐슈츠.bmp
Official/effect/sanctuaria_angel_wing_arm|effect\sanctuaria_angel_wing_arm.bmp
Official/payon/nam4_10|payon\nam4_10.bmp
Official/Field_Floor/Ground_mocr_07|필드바닥\mocr_맨땅07.bmp
Official/Field_Floor/Ground_mocr_15|필드바닥\mocr_맨땅15.bmp
Official/item/Veteran_Sword|유저인터페이스\item\베테랑소드.bmp
Official/effect/i_resist_cold|effect\i_resist_cold.tga
Official/Peyiyon/w_02|페이욘\w_02.bmp
Official/Other_villages/kang_min1 copy|기타마을\kang_min1 copy.bmp
Official/Other_villages/kang_min5 copy|기타마을\kang_min5 copy.bmp
Official/brasilis/bra_16|brasilis\bra_16.bmp
Official/item/17_kt_diamond|유저인터페이스\item\17캐럿다이아.bmp
Official/item/Line|유저인터페이스\item\라인.bmp
Official/Other_villages/tor-lg4|기타마을\tor-lg4.bmp
Official/item/sc_enervation|유저인터페이스\item\sc_enervation.bmp
Official/collection/Pre-nose_shoes|유저인터페이스\collection\프리코슈즈.bmp
Official/Morroc/inside01|모로코\inside01.bmp
Official/item/Angel's_soul.|유저인터페이스\item\천사의가호.bmp
Official/Field_Floor/Ground_mocr_08|필드바닥\mocr_맨땅08.bmp
Official/illust/prt_soldier|유저인터페이스\illust\prt_soldier.bmp
Official/User_Interface/esc_09c|유저인터페이스\esc_09c.bmp
Official/collection/Putsagwa_Ring|유저인터페이스\collection\풋사과반지.bmp
Official/External_accessories/lifeline|외부소품\lifeline.bmp
Official/item/Bloody_branch|유저인터페이스\item\피묻은나뭇가지.bmp
Official/Other_villages/kang_min2 copy|기타마을\kang_min2 copy.bmp
Official/item/Petal|유저인터페이스\item\꽃잎.bmp
Official/Other_villages/kang_min6 copy|기타마을\kang_min6 copy.bmp
Official/collection/Tumyeongpan_03|유저인터페이스\collection\투명판03.bmp
Official/item/Syunomoja|유저인터페이스\item\슈노모자.bmp
Official/Other_villages/desert_consul07|기타마을\desert_consul07.bmp
Official/Other_villages/desert_chapel09|기타마을\desert_chapel09.bmp
Official/Others_within_the_town/co_in_be01|기타마을내부\co_in_be01.bmp
Official/collection/Scenes_stepdaughter|유저인터페이스\collection\명장의붓.bmp
Official/item/Animal_skull|유저인터페이스\item\동물의머리뼈.bmp
Official/item/Golden_Road_Shoes|유저인터페이스\item\골든로드슈즈.bmp
Official/dewata/indo_09|dewata\indo_09.bmp
Official/dewata/indo_28|dewata\indo_28.bmp
Official/dewata/indo_47|dewata\indo_47.bmp
Official/collection/Toast|유저인터페이스\collection\토스트.bmp
Official/collection/Ora_Ora|유저인터페이스\collection\오라오라.bmp
Official/item/Dokkinun|유저인터페이스\item\도끼눈.bmp
Official/Other_villages/hu_ta|기타마을\hu_ta.bmp
Official/item/Leather_Jackets|유저인터페이스\item\가죽재킷.bmp
Official/Peyiyon/a_05|페이욘\a_05.bmp
Official/Field_Floor/Ground_mocr_09|필드바닥\mocr_맨땅09.bmp
Official/item/mc_identify|유저인터페이스\item\mc_identify.bmp
Official/User_Interface/btn_buy|유저인터페이스\btn_buy.bmp
Official/collection/Raepchyeorojeu|유저인터페이스\collection\랩쳐로즈.bmp
Official/Other_villages/kang_min3 copy|기타마을\kang_min3 copy.bmp
Official/Other_villages/kang_min7 copy|기타마을\kang_min7 copy.bmp
Official/item/Saenaegi|유저인터페이스\item\새내기.bmp
Official/Other_villages/hu_fru|기타마을\hu_fru.bmp
Official/item/Galleria_de_Australia|유저인터페이스\item\겔러드리아.bmp
Official/Other_villages/bar-2 copy|기타마을\bar-2 copy.bmp
Official/illust/dress_m_merchant|유저인터페이스\illust\dress_m_merchant.bmp
Official/map/tha_t12|유저인터페이스\map\tha_t12.bmp
Official/External_accessories/myo-mine2|외부소품\myo-mine2.bmp
Official/collection/Rusty_knife|유저인터페이스\collection\녹슨식칼.bmp
Official/item/so_psychic_wave|유저인터페이스\item\so_psychic_wave.bmp
Official/Other_villages/xmas_brdg01|기타마을\xmas_brdg01.bmp
Official/User_Interface/sysboxs_lu|유저인터페이스\sysboxs_lu.bmp
Official/effect/coin_b|effect\coin_b.bmp
Official/collection/Ipemundoneot|유저인터페이스\collection\입에문도넛.bmp
Official/effect/ice_status|effect\ice_status.str
Official/Other_villages/kang_min4 copy|기타마을\kang_min4 copy.bmp
Official/Other_villages/xmas_tool01|기타마을\xmas_tool01.bmp
Official/item/Mitra|유저인터페이스\item\미트라.bmp
Official/External_accessories/mo-fie03|외부소품\mo-fie03.bmp
Official/Internal_Accessories/brest2-1 copy|내부소품\brest2-1 copy.bmp
Official/External_accessories/myo-mine3|외부소품\myo-mine3.bmp
Official/Other_villages/xmas_brdg02|기타마을\xmas_brdg02.bmp
Official/Other_villages/min_entop|기타마을\min_entop.bmp
Official/item/hfli_speed|유저인터페이스\item\hfli_speed.bmp
Official/collection/_Ancient_runuiwonseok|유저인터페이스\collection\룬의원석_고대.bmp
Official/basic_interface/btn_comm_dis|유저인터페이스\basic_interface\btn_comm_dis.bmp
Official/Geffenia/getop_10|게페니아\getop_10.bmp
Official/collection/Star_Dust|유저인터페이스\collection\별의가루.bmp
Official/Other_villages/xmas_tool02|기타마을\xmas_tool02.bmp
Official/External_accessories/mo-fie05|외부소품\mo-fie05.bmp
Official/collection/Bamgoguma|유저인터페이스\collection\밤고구마.bmp
Official/User_Interface/t2_background,_3-2|유저인터페이스\t2_배경3-2.bmp
Official/Other_villages/whi_jap3 copy|기타마을\whi_jap3 copy.bmp
Official/User_Interface/t4_background,_3-2|유저인터페이스\t4_배경3-2.bmp
Official/Field_Floor/Coastal_bottom_boundary_01|필드바닥\해안경계바닥01.bmp
Official/item/Carrots|유저인터페이스\item\당근.bmp
Official/Other_villages/xmas_tool03|기타마을\xmas_tool03.bmp
Official/item/cr_trust|유저인터페이스\item\cr_trust.bmp
Official/collection/The_priest's_hat|유저인터페이스\collection\성직자의모자.bmp
Official/collection/_Will_the_dark|유저인터페이스\collection\암흑의의지_.bmp
Official/External_accessories/mo-tr3_2|외부소품\mo-tr3_2.bmp
Official/Other_villages/chi_mu2 copy|기타마을\chi_mu2 copy.bmp
Official/effect/jong_c|effect\jong_c.bmp
Official/effect/w_b_16|effect\w_b_16.tga
Official/External_accessories/myo-mine1|외부소품\myo-mine1.bmp
Official/External_accessories/gl_13|외부소품\gl_13.bmp
Official/collection/Wick|유저인터페이스\collection\심지.bmp
Official/Other_villages/whi_jap5 copy|기타마을\whi_jap5 copy.bmp
Official/Field_Floor/dg1_bottom01|필드바닥\dg1_bottom01.bmp
Official/cardbmp/Forbidden_Cards|유저인터페이스\cardbmp\구미호카드.bmp
Official/Field_Floor/bf2_c04|필드바닥\bf2_c04.bmp
Official/effect/zz|effect\zz.bmp
Official/Namujapchokkot/xmas_gd01|나무잡초꽃\xmas_gd01.bmp
Official/item/Pocket_Money|유저인터페이스\item\금전주머니.bmp
Official/Other_villages/rc_sr005|기타마을\rc_sr005.bmp
Official/cardbmp/Top_salads_more_cards|유저인터페이스\cardbmp\샐러맨더카드.bmp
Official/Other_villages/xmas_tool04|기타마을\xmas_tool04.bmp
Official/map/moc_castle|유저인터페이스\map\moc_castle.bmp
Official/item/Asa_La_fairy_hat|유저인터페이스\item\아사라요정모자.bmp
Official/External_accessories/mo-fie01|외부소품\mo-fie01.bmp
Official/User_Interface/sysbox_ld|유저인터페이스\sysbox_ld.bmp
Official/collection/White_wizard's_hat|유저인터페이스\collection\흰색마법사의모자.bmp
Official/effect/spear_step|effect\spear_step.str
Official/effect/Poison_inchan_update|effect\인찬트포이즌.tga
Official/collection/Scale_Ice|유저인터페이스\collection\얼음비늘.bmp
Official/Other_villages/russia_store09|기타마을\russia_store09.bmp
Official/map/prt_monk|유저인터페이스\map\prt_monk.bmp
Official/Other_villages/chi_mu6 copy|기타마을\chi_mu6 copy.bmp
Official/Internal_Accessories/pron-line|내부소품\pron-line.bmp
Official/Other_villages/whi_jap7 copy|기타마을\whi_jap7 copy.bmp
Official/item/pf_fogwall|유저인터페이스\item\pf_fogwall.bmp
Official/item/White_dye|유저인터페이스\item\하얀색염료.bmp
Official/item/Hanging_Doll|유저인터페이스\item\매달린인형.bmp
Official/Morroc/mocr_palm002|모로코\mocr_palm002.bmp
Official/item/wl_summon_atk_fire|유저인터페이스\item\wl_summon_atk_fire.bmp
Official/item/Sukeusamadeu|유저인터페이스\item\수크사마드.bmp
Official/item/Lotto_02|유저인터페이스\item\로또02.bmp
Official/item/Lotto_21|유저인터페이스\item\로또21.bmp
Official/item/Lotto_40|유저인터페이스\item\로또40.bmp
Official/Other_villages/rc_sr007|기타마을\rc_sr007.bmp
Official/dicastes/dic_trin02|dicastes\dic_trin02.bmp
Official/dicastes/dic_trin04|dicastes\dic_trin04.bmp
Official/dicastes/dic_trin06|dicastes\dic_trin06.bmp
Official/dicastes/dic_trin08|dicastes\dic_trin08.bmp
Official/Other_villages/xmas_tool05|기타마을\xmas_tool05.bmp
Official/collection/Golden_Anvil|유저인터페이스\collection\금색모루.bmp
Official/item/Forest_staff|유저인터페이스\item\포레스트스태프.bmp
Official/Internal_Accessories/tana_dong1 copy|내부소품\tana_dong1 copy.bmp
Official/Internal_Accessories/tana_dong3 copy|내부소품\tana_dong3 copy.bmp
Official/item/Taeguryeon|유저인터페이스\item\태구련.bmp
Official/Other_villages/whi_jap1 copy|기타마을\whi_jap1 copy.bmp
Official/Field_Floor/dg1_bottom02|필드바닥\dg1_bottom02.bmp
Official/Field_Floor/Aldebaranbadak_2-6|필드바닥\알데바란바닥2-6.bmp
Official/item/Thorn_shield|유저인터페이스\item\가시방패.bmp
Official/Prontera_internal/rpr_tavle copy|프론테라내부\rpr_tavle copy.bmp
Official/item/Wings_of_Victory|유저인터페이스\item\승리의날개.bmp
Official/item/Angel's_Protection|유저인터페이스\item\천사의보호.bmp
Official/map/abbey01|유저인터페이스\map\abbey01.bmp
Official/Peyiyon/w_03|페이욘\w_03.bmp
Official/Other_villages/rc_sr001|기타마을\rc_sr001.bmp
Official/Other_villages/npx_5 copy|기타마을\npx_5 copy.bmp
Official/dicastes/dic_trin10|dicastes\dic_trin10.bmp
Official/Others_within_the_town/Alberta_Floor_0|기타마을내부\알베르타바닥0.bmp
Official/collection/Broken_Pharaoh's_symbol|유저인터페이스\collection\깨진파라오의상징.bmp
Official/collection/Blue_Card_f|유저인터페이스\collection\파란카드f.bmp
Official/nydhogg/nyd_m1|nydhogg\nyd_m1.bmp
Official/item/Bloody_Cross|유저인터페이스\item\블러디크로스.bmp
Official/External_accessories/mo-Pyramids_1-Floor|외부소품\mo-피라미드1-바닥.bmp
Official/item/ma_removetrap|유저인터페이스\item\ma_removetrap.bmp
Official/Other_villages/russia_palace01|기타마을\russia_palace01.bmp
Official/item/Ringohbeupeulreimrodeu|유저인터페이스\item\링오브플레임로드.bmp
Official/collection/Crow's_wing|유저인터페이스\collection\까마귀의날개.bmp
Official/collection/Poringgyeopmoja|유저인터페이스\collection\포링겹모자.bmp
Official/cardbmp/Peomilrieokadeu|유저인터페이스\cardbmp\퍼밀리어카드.bmp
Official/Morroc/mocr_palm001|모로코\mocr_palm001.bmp
Official/Other_villages/st_blacksmith08|기타마을\st_blacksmith08.bmp
Official/Other_villages/rc_sr003|기타마을\rc_sr003.bmp
Official/item/Bonhedeu|유저인터페이스\item\본헤드.bmp
Official/dicastes/dic_trin01|dicastes\dic_trin01.bmp
Official/dicastes/dic_trin03|dicastes\dic_trin03.bmp
Official/dicastes/dic_trin05|dicastes\dic_trin05.bmp
Official/dicastes/dic_trin07|dicastes\dic_trin07.bmp
Official/dicastes/dic_trin09|dicastes\dic_trin09.bmp
Official/cardbmp/Jibetteukadeu|유저인터페이스\cardbmp\지벳트카드.bmp
Official/collection/Wrist_Toshi_improve|유저인터페이스\collection\팔목토시개량.bmp
Official/Others_within_the_town/co_in_be02|기타마을내부\co_in_be02.bmp
Official/bifrost/bif_p13|bifrost\bif_p13.bmp
Official/bifrost/bif_p32|bifrost\bif_p32.bmp
Official/item/Angel's_street|유저인터페이스\item\천사의재래.bmp
Official/Internal_Accessories/tana_dong2 copy|내부소품\tana_dong2 copy.bmp
Official/effect/w_c_16|effect\w_c_16.tga
Official/effect/w_c_35|effect\w_c_35.tga
Official/collection/Jasper_Crest|유저인터페이스\collection\재스퍼크레스트.bmp
Official/item/al_decagi|유저인터페이스\item\al_decagi.bmp
